city,locality,property_type,bhk,area_sqft,bathrooms,balcony,price_inr,price_per_sqft,data_source,record_type
Chennai,Urapakkam,Apartment,2,932,3,1,4500000,4828.33,India real-estate dataset (uploaded),real_dataset
Chennai,Madambakkam,House,3,1500,3,1,4500000,3000.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Tambaram Mount, West Tambaram",House,2,1200,3,1,7500000,6250.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Building velachery ,Anna Nagar Extension, Velachery",Apartment,1,590,2,1,3200000,5423.73,India real-estate dataset (uploaded),real_dataset
Chennai,"Shri Vihar ,Sembakkam",Apartment,4,1570,3,1,8500000,5414.01,India real-estate dataset (uploaded),real_dataset
Chennai,"Krishnaveni Nagar, Medavakkam",Apartment,2,808,3,0,3600000,4455.45,India real-estate dataset (uploaded),real_dataset
Chennai,"Ma. Po. Si. Nagar, Thiruvallur",House,3,1582,3,1,5000000,3160.56,India real-estate dataset (uploaded),real_dataset
Chennai,"TNHB Colony, Villivakkam",House,4,2400,4,1,22500000,9375.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Anchorage,Mandavelipakkam, Raja Annamalai Puram",Apartment,3,1350,3,1,16000000,11851.85,India real-estate dataset (uploaded),real_dataset
Chennai,"Kandasamy Nagar, Porur",House,3,1400,3,1,6500000,4642.86,India real-estate dataset (uploaded),real_dataset
Chennai,"Viswas Castle,Urapakkam",Apartment,2,950,3,0,3200000,3368.42,India real-estate dataset (uploaded),real_dataset
Chennai,Puzhal,House,2,850,3,1,5500000,6470.59,India real-estate dataset (uploaded),real_dataset
Chennai,"Venkateshwara Nagar, Ramapuram",Apartment,2,860,3,0,5400000,6279.07,India real-estate dataset (uploaded),real_dataset
Chennai,Velachery,Apartment,3,1300,3,1,7900000,6076.92,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramakrishna Nagar, Raja Annamalai Puram",Apartment,2,780,2,0,8500000,10897.44,India real-estate dataset (uploaded),real_dataset
Chennai,"Kallikuppam, Ambattur",House,2,1100,3,0,6700000,6090.91,India real-estate dataset (uploaded),real_dataset
Chennai,"AGS Colony, Adambakkam",Apartment,3,1193,3,0,9900000,8298.41,India real-estate dataset (uploaded),real_dataset
Chennai,"Lakshmipuram, Kolathur",House,3,1350,3,0,12000000,8888.89,India real-estate dataset (uploaded),real_dataset
Chennai,"Veera Vanchinathan Nagar, Perungudi",Apartment,2,1200,3,1,7500000,6250.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Akshaya,Periyar Nagar, Perambur",Apartment,2,946,3,0,6300000,6659.62,India real-estate dataset (uploaded),real_dataset
Chennai,"Thirumangalam, Anna Nagar West",Apartment,3,1065,3,1,8800000,8262.91,India real-estate dataset (uploaded),real_dataset
Chennai,Mudichur,Apartment,1,580,2,1,2686000,4631.03,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramaniyam Gauravv ,Sholinganallur",Apartment,2,1160,3,0,6490000,5594.83,India real-estate dataset (uploaded),real_dataset
Chennai,"Arasankazhani, Perumbakkam",Apartment,2,1055,3,1,5800000,5497.63,India real-estate dataset (uploaded),real_dataset
Chennai,"Dharan Singh Colony, Vadapalani",House,4,1940,3,1,27500000,14175.26,India real-estate dataset (uploaded),real_dataset
Chennai,"Padmanabha Nagar, Choolaimedu",Apartment,2,938,3,1,9000000,9594.88,India real-estate dataset (uploaded),real_dataset
Chennai,"Maruthi Nagar, Sembakkam",Apartment,3,1712,3,1,11500000,6717.29,India real-estate dataset (uploaded),real_dataset
Chennai,"Padupakkam, Triplicane",House,4,1328,3,1,23900000,17996.99,India real-estate dataset (uploaded),real_dataset
Chennai,Pennalur,Apartment,2,1085,3,1,3000000,2764.98,India real-estate dataset (uploaded),real_dataset
Chennai,Singaperumal Koil,House,1,880,3,1,2728000,3100.0,India real-estate dataset (uploaded),real_dataset
Chennai,Oragadam Sriperambattur,Apartment,3,1450,3,1,7000000,4827.59,India real-estate dataset (uploaded),real_dataset
Chennai,Kelambakkam,Apartment,1,462,2,0,2800000,6060.61,India real-estate dataset (uploaded),real_dataset
Chennai,"RC NAVARATHNAM ,Sembiyan, Perambur",Apartment,2,900,3,0,9300000,10333.33,India real-estate dataset (uploaded),real_dataset
Chennai,"Nesamani Nagar, Perumbakkam",Apartment,2,904,3,0,4500000,4977.88,India real-estate dataset (uploaded),real_dataset
Chennai,"Kumaran Nagar, Kilpauk",Apartment,2,940,3,0,6500000,6914.89,India real-estate dataset (uploaded),real_dataset
Chennai,"Tirupathi Nagar, Valasaravakkam",House,5,5400,5,1,51300000,9500.0,India real-estate dataset (uploaded),real_dataset
Chennai,Ambattur,Apartment,2,795,2,1,4375000,5503.14,India real-estate dataset (uploaded),real_dataset
Chennai,"Anthony Nagar, Kolathur",Apartment,2,990,3,1,6900000,6969.7,India real-estate dataset (uploaded),real_dataset
Chennai,Thandalam,Apartment,2,630,2,0,4500000,7142.86,India real-estate dataset (uploaded),real_dataset
Chennai,"Thirumangalam, Anna Nagar West",Apartment,3,1100,3,1,10000000,9090.91,India real-estate dataset (uploaded),real_dataset
Chennai,Madambakkam,Apartment,2,598,2,1,2950000,4933.11,India real-estate dataset (uploaded),real_dataset
Chennai,"Nerkundram, Mogappair",Apartment,2,918,3,0,7200000,7843.14,India real-estate dataset (uploaded),real_dataset
Chennai,Ambattur,House,4,3300,1,1,37800000,11454.55,India real-estate dataset (uploaded),real_dataset
Chennai,"Kamakshi Nagar, Anakaputhur",Apartment,1,490,2,1,1500000,3061.22,India real-estate dataset (uploaded),real_dataset
Chennai,Iyyappanthangal,Apartment,3,1791,3,1,13000000,7258.51,India real-estate dataset (uploaded),real_dataset
Chennai,Oragadam Sriperambattur,Apartment,0,500,2,0,1800000,3600.0,India real-estate dataset (uploaded),real_dataset
Chennai,Medavakkam,Apartment,3,1512,3,0,7800000,5158.73,India real-estate dataset (uploaded),real_dataset
Chennai,"BHARATHI ,Thirumullaivoyal",Apartment,2,967,3,1,4850000,5015.51,India real-estate dataset (uploaded),real_dataset
Chennai,Ponmar,Villa,2,1669,3,1,7200000,4313.96,India real-estate dataset (uploaded),real_dataset
Chennai,"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur",Apartment,2,1065,3,0,3600000,3380.28,India real-estate dataset (uploaded),real_dataset
Chennai,"Thirumangalam, Anna Nagar West",Apartment,4,2661,4,1,30000000,11273.96,India real-estate dataset (uploaded),real_dataset
Chennai,"K G Signature City,Panneer Nagar, Mogappair",Apartment,2,1000,3,0,7200000,7200.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Chinnaiyan Colony, Perambur",House,10,8000,1,1,65000000,8125.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Annanur, Ayappakkam",Apartment,1,640,2,1,1700000,2656.25,India real-estate dataset (uploaded),real_dataset
Chennai,"L & T Colony Phase II, Virugambakkam",Apartment,2,960,3,0,5850000,6093.75,India real-estate dataset (uploaded),real_dataset
Chennai,"Dwaraka flats,Bhavani Nagar, Ayappakkam",Apartment,2,1168,3,1,5850000,5008.56,India real-estate dataset (uploaded),real_dataset
Chennai,"Surya Nagar, Kotturpuram",Apartment,3,1650,3,1,23000000,13939.39,India real-estate dataset (uploaded),real_dataset
Chennai,"ert  aprtment,Periyar Nagar, Chromepet",Apartment,2,763,2,0,4000000,5242.46,India real-estate dataset (uploaded),real_dataset
Chennai,Tiruvottiyur,Apartment,2,836,3,0,4500000,5382.78,India real-estate dataset (uploaded),real_dataset
Chennai,"ADWAITH SRINIVASAN FLAT,Nanganallur",Apartment,2,518,2,0,4040000,7799.23,India real-estate dataset (uploaded),real_dataset
Chennai,"Vijaya Gardens, Valasaravakkam",House,6,3500,4,1,30000000,8571.43,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramakrishna Puram, West Mambalam",Apartment,2,620,2,1,5600000,9032.26,India real-estate dataset (uploaded),real_dataset
Chennai,Veppampattu,Villa,2,1000,3,1,3000000,3000.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Parthasarathy Puram, T Nagar",Apartment,3,1495,3,0,27500000,18394.65,India real-estate dataset (uploaded),real_dataset
Chennai,"Mathangi Apartments,Samiyar Madam, Kodambakkam",Apartment,2,560,2,1,4500000,8035.71,India real-estate dataset (uploaded),real_dataset
Chennai,"Mango Farm,Natesan Nagar, Madhavaram",Apartment,2,831,3,1,4500000,5415.16,India real-estate dataset (uploaded),real_dataset
Chennai,"Srivatsam flats ,Sembiyan, Perambur",Apartment,2,853,3,1,5000000,5861.66,India real-estate dataset (uploaded),real_dataset
Chennai,Velachery,Apartment,2,994,3,1,6000000,6036.22,India real-estate dataset (uploaded),real_dataset
Chennai,"Periyar Nagar, Tiruvottiyur",House,2,1800,3,1,11000000,6111.11,India real-estate dataset (uploaded),real_dataset
Chennai,"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram",Apartment,2,547,2,1,4100000,7495.43,India real-estate dataset (uploaded),real_dataset
Chennai,Mylapore,Apartment,2,730,2,0,4500000,6164.38,India real-estate dataset (uploaded),real_dataset
Chennai,"JB HOMES,Vishnu Nagar, West Tambaram",Apartment,2,920,3,1,3300000,3586.96,India real-estate dataset (uploaded),real_dataset
Chennai,"Tirumalai Nagar, Koyambedu",House,4,1400,3,0,11500000,8214.29,India real-estate dataset (uploaded),real_dataset
Chennai,Avadi,Apartment,2,667,2,0,3200000,4797.6,India real-estate dataset (uploaded),real_dataset
Chennai,Veppampattu,House,2,1000,3,0,3900000,3900.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Ram Nagar, Madipakkam",Apartment,2,850,3,1,5450000,6411.76,India real-estate dataset (uploaded),real_dataset
Chennai,"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam",Apartment,2,951,3,1,4500000,4731.86,India real-estate dataset (uploaded),real_dataset
Chennai,"Cheran Nagar, Perumbakkam",Apartment,3,1380,3,1,7700000,5579.71,India real-estate dataset (uploaded),real_dataset
Chennai,"Annamalai Colony, Saligramam",Apartment,3,1196,3,0,11000000,9197.32,India real-estate dataset (uploaded),real_dataset
Chennai,Ambattur,House,3,4800,5,1,42000000,8750.0,India real-estate dataset (uploaded),real_dataset
Chennai,Moolakazhani,Apartment,2,690,2,1,3650000,5289.86,India real-estate dataset (uploaded),real_dataset
Chennai,"Lakshmipuram, Kolathur",Apartment,2,982,3,0,6000000,6109.98,India real-estate dataset (uploaded),real_dataset
Chennai,Guduvancheri,House,2,600,2,0,3650000,6083.33,India real-estate dataset (uploaded),real_dataset
Chennai,"Iswaryam Flats,VOC Nagar, Pammal",Apartment,2,770,2,0,3000000,3896.1,India real-estate dataset (uploaded),real_dataset
Chennai,"TNHB Layout, Mathur",Apartment,2,840,3,1,3950000,4702.38,India real-estate dataset (uploaded),real_dataset
Chennai,Mahindra World City,House,3,1650,3,1,3900000,2363.64,India real-estate dataset (uploaded),real_dataset
Chennai,"Sai sivam,Thirumangalam, Anna Nagar West",Apartment,3,1340,3,1,15300000,11417.91,India real-estate dataset (uploaded),real_dataset
Chennai,"Adityaram Nagar, Panaiyur",Villa,4,3500,5,1,26000000,7428.57,India real-estate dataset (uploaded),real_dataset
Chennai,"Gotha Medu Housing Board, Saidapet",Apartment,3,1881,3,1,24400000,12971.82,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Apartment,4,2232,4,1,12500000,5600.36,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Villa,4,2117,4,1,14000000,6613.13,India real-estate dataset (uploaded),real_dataset
Chennai,Chembarambakkam,Apartment,3,1426,3,0,9460000,6633.94,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Apartment,2,1121,3,1,6000000,5352.36,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Apartment,2,1261,3,0,6700000,5313.24,India real-estate dataset (uploaded),real_dataset
Chennai,Sholinganallur,Apartment,3,1689,3,1,13200000,7815.28,India real-estate dataset (uploaded),real_dataset
Chennai,Padappai,Apartment,2,886,3,0,4500000,5079.01,India real-estate dataset (uploaded),real_dataset
Chennai,Pallikaranai,Apartment,0,620,2,0,4500000,7258.06,India real-estate dataset (uploaded),real_dataset
Chennai,Poonamallee,Apartment,2,1093,3,1,6000000,5489.48,India real-estate dataset (uploaded),real_dataset
Chennai,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur",Apartment,2,1047,3,0,7000000,6685.77,India real-estate dataset (uploaded),real_dataset
Chennai,"Arasankazhani, Perumbakkam",Apartment,3,1559,3,1,8500000,5452.21,India real-estate dataset (uploaded),real_dataset
Chennai,"Manikandan Nagar, Thiruneermalai",Apartment,2,853,3,0,5000000,5861.66,India real-estate dataset (uploaded),real_dataset
Chennai,Perungalathur,Apartment,3,1317,3,0,5200000,3948.37,India real-estate dataset (uploaded),real_dataset
Chennai,"Arulmurugan Nagar, Old Pallavaram",Apartment,1,618,2,0,5200000,8414.24,India real-estate dataset (uploaded),real_dataset
Chennai,Ekkatuthangal,Villa,3,1200,3,0,29000000,24166.67,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Villa,3,2150,4,1,16500000,7674.42,India real-estate dataset (uploaded),real_dataset
Chennai,Chettipunyam,Apartment,2,604,2,1,2900000,4801.32,India real-estate dataset (uploaded),real_dataset
Chennai,Chettipunyam,Apartment,2,836,3,0,3800000,4545.45,India real-estate dataset (uploaded),real_dataset
Chennai,"Bharathi Nagar, Gerugambakkam",Apartment,1,1009,3,1,7200000,7135.78,India real-estate dataset (uploaded),real_dataset
Chennai,"Periya Palayatamman Nagar, Manapakkam",Apartment,0,425,2,1,4700000,11058.82,India real-estate dataset (uploaded),real_dataset
Chennai,Kundrathur,Apartment,2,711,2,0,4500000,6329.11,India real-estate dataset (uploaded),real_dataset
Chennai,Oragadam Ambattur,Villa,3,1545,3,1,12500000,8090.61,India real-estate dataset (uploaded),real_dataset
Chennai,"New Central Jail, Puzhal",Apartment,3,1551,3,0,8841000,5700.19,India real-estate dataset (uploaded),real_dataset
Chennai,Oragadam Ambattur,Villa,3,1352,3,0,8000000,5917.16,India real-estate dataset (uploaded),real_dataset
Chennai,Kundrathur,Apartment,2,711,2,1,4500000,6329.11,India real-estate dataset (uploaded),real_dataset
Chennai,Kundrathur,Apartment,2,711,2,0,4500000,6329.11,India real-estate dataset (uploaded),real_dataset
Chennai,"Korattur Tank, Korattur",Apartment,2,961,3,0,7200000,7492.2,India real-estate dataset (uploaded),real_dataset
Chennai,Moolakazhani,Apartment,1,482,2,1,2400000,4979.25,India real-estate dataset (uploaded),real_dataset
Chennai,Karapakkam,Apartment,2,1037,3,0,7200000,6943.11,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Apartment,4,2200,4,1,15000000,6818.18,India real-estate dataset (uploaded),real_dataset
Chennai,"Buddhar Colony, Porur",Apartment,2,1080,3,1,5500000,5092.59,India real-estate dataset (uploaded),real_dataset
Chennai,"MGR Nagar, Mangadu",Apartment,2,970,3,0,6300000,6494.85,India real-estate dataset (uploaded),real_dataset
Chennai,"Panneer Nagar, Mogappair",Apartment,1,620,2,0,4200000,6774.19,India real-estate dataset (uploaded),real_dataset
Chennai,Siruseri,Apartment,1,570,2,1,1950000,3421.05,India real-estate dataset (uploaded),real_dataset
Chennai,"Pasumpon Nagar, Anakaputhur",Apartment,2,940,3,1,5500000,5851.06,India real-estate dataset (uploaded),real_dataset
Chennai,Oragadam Sriperambattur,Villa,3,1497,3,0,9900000,6613.23,India real-estate dataset (uploaded),real_dataset
Chennai,Senganmal,Apartment,2,986,3,0,4200000,4259.63,India real-estate dataset (uploaded),real_dataset
Chennai,Padur,Apartment,0,353,1,0,2050000,5807.37,India real-estate dataset (uploaded),real_dataset
Chennai,Senganmal,Apartment,0,613,2,1,2700000,4404.57,India real-estate dataset (uploaded),real_dataset
Chennai,Chettipunyam,Apartment,1,595,2,1,2400000,4033.61,India real-estate dataset (uploaded),real_dataset
Chennai,"Sai Enclave ,Kumananchavadi",Apartment,2,710,2,0,3800000,5352.11,India real-estate dataset (uploaded),real_dataset
Chennai,"ramus redidency,KK Nagar",Apartment,2,980,3,0,11700000,11938.78,India real-estate dataset (uploaded),real_dataset
Chennai,Nedunkundram,Villa,2,650,2,0,6000000,9230.77,India real-estate dataset (uploaded),real_dataset
Chennai,"Govinda Swamy Nagar, Perungudi",Apartment,2,1080,3,1,7575000,7013.89,India real-estate dataset (uploaded),real_dataset
Chennai,"Housing ,TNHB Colony, Villivakkam",Apartment,3,1400,3,0,7500000,5357.14,India real-estate dataset (uploaded),real_dataset
Chennai,"Periyar Nagar, Chromepet",Apartment,1,700,2,0,3800000,5428.57,India real-estate dataset (uploaded),real_dataset
Chennai,"Kalyanapuram, Ambattur",Apartment,2,840,3,0,5500000,6547.62,India real-estate dataset (uploaded),real_dataset
Chennai,"SRI DEVI NEDIL,Drivers Colony, T Nagar",Apartment,3,1987,3,1,38000000,19124.31,India real-estate dataset (uploaded),real_dataset
Chennai,"TAPAS,T Nagar",Apartment,3,1484,3,1,25000000,16846.36,India real-estate dataset (uploaded),real_dataset
Chennai,"AKB home ,Selaiyur",Apartment,2,801,3,0,3330000,4157.3,India real-estate dataset (uploaded),real_dataset
Chennai,"india builder,Kathiravan Colony, Anna Nagar",Apartment,3,1461,3,0,22500000,15400.41,India real-estate dataset (uploaded),real_dataset
Chennai,"Cheran Nagar, Perumbakkam",Villa,3,1290,3,0,8500000,6589.15,India real-estate dataset (uploaded),real_dataset
Chennai,Guduvancheri,Apartment,2,875,3,0,3500000,4000.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Pinnacle Crest,Sholinganallur",Apartment,1,608,2,0,5000000,8223.68,India real-estate dataset (uploaded),real_dataset
Chennai,Avadi,Apartment,2,650,2,1,3000000,4615.38,India real-estate dataset (uploaded),real_dataset
Chennai,Karapakkam,Apartment,2,561,2,1,5000000,8912.66,India real-estate dataset (uploaded),real_dataset
Chennai,Pudupakkam,Villa,2,1250,3,1,6500000,5200.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Baskaran,Unamancheri, Kolapakkam, Kolapakkam - Vandalur",Apartment,2,1500,3,0,4000000,2666.67,India real-estate dataset (uploaded),real_dataset
Chennai,"akshyam app,Irandam Kattalai, Thandalam",Apartment,2,760,2,1,4800000,6315.79,India real-estate dataset (uploaded),real_dataset
Chennai,"Annanur, Ambattur",Apartment,2,1070,3,1,6500000,6074.77,India real-estate dataset (uploaded),real_dataset
Chennai,Kelambakkam,Apartment,1,462,2,0,2475000,5357.14,India real-estate dataset (uploaded),real_dataset
Chennai,"color avenue,Cheran Nagar, Perumbakkam",Apartment,2,935,3,0,4000000,4278.07,India real-estate dataset (uploaded),real_dataset
Chennai,"Balaji Nagar, Madipakkam",Apartment,2,865,3,0,5870000,6786.13,India real-estate dataset (uploaded),real_dataset
Chennai,"Yeswanth Nagar, Madambakkam",Apartment,2,830,3,0,4000000,4819.28,India real-estate dataset (uploaded),real_dataset
Chennai,"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk",Apartment,3,1340,3,0,14500000,10820.9,India real-estate dataset (uploaded),real_dataset
Chennai,"Thangam apartment ,Kathiravan Colony, Anna Nagar",Apartment,3,1600,3,1,17500000,10937.5,India real-estate dataset (uploaded),real_dataset
Chennai,Kelambakkam,Apartment,3,1237,3,0,4400000,3556.99,India real-estate dataset (uploaded),real_dataset
Chennai,Pudupakkam,Villa,2,979,3,0,5700000,5822.27,India real-estate dataset (uploaded),real_dataset
Chennai,"Sendurpuram Extension, Iyyappanthangal",Apartment,1,556,2,0,3200000,5755.4,India real-estate dataset (uploaded),real_dataset
Chennai,"Cheran Nagar, Perumbakkam",Apartment,2,840,3,1,4500000,5357.14,India real-estate dataset (uploaded),real_dataset
Chennai,Pudupakkam,Apartment,3,1064,3,0,4100000,3853.38,India real-estate dataset (uploaded),real_dataset
Chennai,"Akarsh flats,Anthony Nagar, Kolathur",Apartment,2,932,3,0,6500000,6974.25,India real-estate dataset (uploaded),real_dataset
Chennai,"Jothi towers,Cheran Nagar, Perumbakkam",Apartment,2,980,3,0,4500000,4591.84,India real-estate dataset (uploaded),real_dataset
Chennai,Avadi,Apartment,2,902,3,0,4100000,4545.45,India real-estate dataset (uploaded),real_dataset
Chennai,"MGR Puram West, Ayappakkam",Apartment,2,949,3,0,4200000,4425.71,India real-estate dataset (uploaded),real_dataset
Chennai,"Adayalampet, Maduravoyal",Apartment,3,1245,3,0,7719000,6200.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramakrishna Puram, West Mambalam",Apartment,3,1269,3,1,16000000,12608.35,India real-estate dataset (uploaded),real_dataset
Chennai,"United Colony, Kolathur",Apartment,2,2220,4,1,6500000,2927.93,India real-estate dataset (uploaded),real_dataset
Chennai,Kundrathur,Apartment,1,480,2,0,1850000,3854.17,India real-estate dataset (uploaded),real_dataset
Chennai,"Ashvin Apartment,Poonamallee",Apartment,2,900,3,0,5300000,5888.89,India real-estate dataset (uploaded),real_dataset
Chennai,"Hi Fi Enclave ,Iyyappanthangal",Apartment,3,1350,3,0,8600000,6370.37,India real-estate dataset (uploaded),real_dataset
Chennai,"Ak beryl,Kamakshi Nagar, Anakaputhur",Apartment,3,1238,3,0,6999000,5653.47,India real-estate dataset (uploaded),real_dataset
Chennai,"Cheran Nagar, Perumbakkam",Apartment,2,1107,3,0,5700000,5149.05,India real-estate dataset (uploaded),real_dataset
